"brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"Mercedes-Benz",2020,6041,2,1,"Petrol","Rear-wheel Drive",NA,NA,0,0,0,1,0,1,49000
"BMW",2020,32267,3,1,"Petrol","Rear-wheel Drive",22,30,0,1,1,1,0,1,45995
"Alfa",2023,315,2,1,"Petrol","Rear-wheel Drive",24,33,0,0,1,1,0,1,44995
"Mazda",2020,29442,2.5,1,"Petrol","Four-wheel Drive",27,34,0,1,0,1,0,1,26897
"Jaguar",2019,46277,2,1,"Petrol","Four-wheel Drive",20,28,1,1,0,1,0,0,30284
"Kia",2021,43371,1.6,1,"Petrol","Front-wheel Drive",19,26,0,1,0,1,0,0,25488
"Honda",2020,32711,2,1,"Hybrid","Four-wheel Drive",35,40,1,1,1,1,0,1,34753
"Nissan",2015,57410,3.7,1,"Petrol","Rear-wheel Drive",NA,NA,1,1,1,1,0,1,26595
"FIAT",2014,130778,1.4,0,"Petrol","Front-wheel Drive",25,33,0,0,0,1,0,0,8000
"Kia",2017,82592,2.4,1,"Petrol","Front-wheel Drive",21,26,0,0,0,1,0,0,15795
"Land",2018,44905,NA,1,"Petrol","Four-wheel Drive",20,28,1,1,0,1,0,0,27000
"FIAT",2016,25293,2.4,1,"Petrol","Front-wheel Drive",22,31,0,0,0,1,0,0,16800
"Alfa",2021,17478,2,1,"Petrol","Four-wheel Drive",22,28,0,1,1,1,0,0,35689
"Mazda",2022,2932,2.5,1,"Petrol","Four-wheel Drive",24,30,0,NA,1,1,0,1,37639
"Toyota",2019,55828,4,1,"Petrol","Four-wheel Drive",17,20,1,1,0,1,0,0,34691
"Land",2020,33765,NA,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,0,0,46314
"Lexus",2021,63622,3.5,1,"Petrol","Four-wheel Drive",15,19,0,1,0,1,0,0,38996
"Mitsubishi",2021,46720,2,1,"Petrol","Four-wheel Drive",25,30,0,1,0,1,0,0,19439
"Kia",2022,13201,1.6,1,"Hybrid","Four-wheel Drive",35,39,0,0,1,1,1,1,37226
"Mercedes-Benz",2019,38782,3,1,"Petrol","Four-wheel Drive",17,22,0,0,1,1,0,1,52990
"Kia",2021,25287,2.4,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,1,0,0,25875
"Hyundai",2018,18464,2.4,1,"Petrol","Front-wheel Drive",18,29,1,0,0,1,0,1,23124
"Volkswagen",2007,62161,2,1,"Petrol","Front-wheel Drive",29,39,1,0,0,0,0,0,14494
"MINI",2017,34261,2,1,"Petrol","Four-wheel Drive",24,33,0,0,0,1,0,1,22723
"Hyundai",2020,29702,3.8,1,"Petrol","Front-wheel Drive",57,59,0,1,0,1,1,1,38231
"Lexus",2020,65277,2,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,0,37447
"Mazda",2021,30991,2.5,1,"Petrol","Front-wheel Drive",20,26,0,0,1,1,1,1,32991
"Mazda",2022,19726,2.5,1,"Petrol","Four-wheel Drive",26,35,1,1,0,1,0,1,29987
